121001,"מים, אנרגיה וחיים באזורים צחיחים",,
201101,מבוא למתמטיקה לתלמידי מדעי המחשב- קורס השלמה,,
204111,כימיה בסיסית לתלמידי הנדסה גרעינית,,
1011108,אישיות - ב,,
1211071,מלוכה ופולחן באומנות המסופוטמית - ב,,
1221611,חורבן וגאולה בשירים העבריים בימי הביניים - ב,,
1311101,הנפש והעולם: מבוא ללימודים קוגנטיביים,,
1381131,מבוא למחשבה מדינית,,
1421081,כתיבה לכלכלנים,,
1421101,מבוא לכלכלה \'הנדסת חומרים\',,
2011011,חשבון אינפיניטסימלי 1,,
2011201,מבוא ללוגיקה ותורת הקבוצות,,
3711601,מערכות טלקומוניקציה ומחשבים,,
6811004,מבוא לניתוח כלכלי - יפן,,
6852005,יישום מדיניות ציבורית,,
10110012,יסודות פילוסופיים של מדע הפסיכולוגיה,,
10110017,תוכנות סטטיסטיות,,
10110027,פסיכולוגיה ניסויית,,
10110037,פסיכולוגיה חברתית,,
10110049,מבוא לסטטיסטיקה,,
10110057,פסיכולוגיה קוגנטיבית,,
10110063,תודעה ופסיכופתולוגיה,,
10110069,הסקה סטטיסטית,,
10110079,מבוא לפסיכולוגיה - א,,
10110089,מבוא לפסיכולוגיה - ב,,
10110098,אישיות - א,,
10110108,אישיות - ב,,
10110139,התנהגות אבנורמלית - א,,
10110146,אינטרסובייקטיביות: איך אנחנו מבינים מה אנשים אחרים חושבים ומרגישים?,,
10110147,פסיכולוגיה של השואה,,
10110149,התנהגות אבנורמלית - ב,,
10110177,מוטיבציה ורגש בהקשר חברתי - א,,
10110187,מוטיבציה ורגש בהקשר חברתי - ב,,
10110189,רגרסיה ושיטות ניתוח רב- משתניות,,
10110239,ידע והבנה בחיי יום יום - ב,,
10110379,האישיות הדיכאונית,,
10210016,מבוא לשיטות מחקר,,
10210017,סקרים ושיטות לינאריות,,
10210028,יסודות פילוסופיים של המחקר במדעי החברה,,
10210029,החברה הישראלית - ב,,
10210035,עוני בתוך שפע: הסוציולוגיה של העוני,,
10210047,זהות ורגשות - ב,,
10210051,סוציולוגיה של הרפואה,,
10210070,תרבות פופולרית,,
10210078,סטטיסטיקה א\',,
10210088,סטטיסטיקה ב\',,
10210110,סוציולוגיה של הרגשות,,
10210348,תיאוריות סוציולוגיות מתקדמות,,
11911011,קריאת מקורות בתקופת המקרא,,
11911051,ספרות היסטוריוגרפית,,
11911091,הספרות ההיסטוריוגרפיות ב,,
11911101,ספרות הנבואה החוק והמזמור,,
11911141,ספרות החוכמה תוך עיבוד דידקטי,,
12010016,קורבנות אדם בישראל ובכנען,,
12010017,השופט כשליט בישראל ובפניקיה,,
12011011,תולדות עם ישראל - הדרכה,,
12011101,כתובות עבריות מימי בית ראשון,,
12011161,תולדות מסופוטמיה,,
12011221,מבוא לגיאוגרפיה היסטורית,,
12011311,הכיבוש וההתנחלות בסיפור ובמציאות ב,,
12011361,משטר שבטי בישראל,,
12011401,מקורות מקראיים ואשוריים,,
12011411,ספר מלכים בהארה היסטורית,,
12011451,תולדות עם ישראל בתקופת המקרא א,,
12011471,מקורות לתולדות ישראל,,
12011481,מוסדות והנהגה בתקופת המלוכה,,
12011551,"מקורות לתולדות ישראל באלף השני לפנה\""ס",,
12011561,"מקורות לתול\' היהו\' בימה\""ב",,
12011571,תולדות המזרח הקדום,,
12015131,בין בבל לרומא,,
12020011,ישראל ומצרים במקרא ובהיסטוריה,,
12025561,עיונים בכתובות פיניקיות,,
12110032,תולדות הפרשנות היהודית,,
12110053,"פירושי רש\""י לספר במדבר",,
12110056,פירוש רש\'\'י לספר ירמיה,,
